id,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,dti,home_ownership,addr_state,purpose,loan_status,delinq_2yrs,pub_rec,pub_rec_bankruptcies,revol_util,open_acc,total_acc,verification_status,issue_d,social_security_number,ssn,ssnumber,ssnumber1,drivers_license,dl,member_id,emp_title,title,c_desc,zip_code,c_url
1124,27078.82, 60 months,9.14%,F,F4,75851.34,22.77,OWN,PA,car,Fully Paid,1,2,1,20.0%,3,60,Not Verified,May-08,100001123,100001123,100001123,900001123,DL501123,DL501123,MEMBER-1124,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,649,https://example.com/loan/1124
1125,5137.5, 36 months,11.13%,G,G1,108826.34,17.0,NONE,GA,moving,Current,3,0,0,48.31%,28,25,Source Verified,May-11,100001124,100001124,100001124,900001124,DL501124,DL501124,MEMBER-1125,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,668,https://example.com/loan/1125
1126,19725.49, 36 months,7.32%,F,F5,103324.15,15.42,NONE,CA,educational,Fully Paid,1,3,2,1.82%,3,50,Verified,Aug-17,100001125,100001125,100001125,900001125,DL501125,DL501125,MEMBER-1126,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,238,https://example.com/loan/1126
1127,18117.84, 60 months,12.22%,E,E4,22738.03,5.79,RENT,PA,moving,Current,3,3,1,96.2%,23,12,Verified,Jan-18,100001126,100001126,100001126,900001126,DL501126,DL501126,MEMBER-1127,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,134,https://example.com/loan/1127
1128,11760.16, 60 months,17.37%,G,G5,63144.25,14.0,RENT,PA,major_purchase,Fully Paid,1,1,1,10.78%,27,24,Source Verified,Dec-13,100001127,100001127,100001127,900001127,DL501127,DL501127,MEMBER-1128,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,801,https://example.com/loan/1128
1129,21931.6, 36 months,23.28%,C,C5,123052.33,9.39,MORTGAGE,MI,home_improvement,Fully Paid,3,3,0,80.8%,3,36,Not Verified,Nov-13,100001128,100001128,100001128,900001128,DL501128,DL501128,MEMBER-1129,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,502,https://example.com/loan/1129
1130,31945.73, 36 months,15.99%,D,D4,124829.88,22.45,MORTGAGE,FL,home_improvement,Fully Paid,4,2,2,64.9%,13,37,Verified,Jan-12,100001129,100001129,100001129,900001129,DL501129,DL501129,MEMBER-1130,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,682,https://example.com/loan/1130
1131,4361.58, 36 months,5.51%,A,A5,160887.62,2.54,OTHER,GA,renewable_energy,Charged Off,3,1,1,89.15%,5,17,Not Verified,Nov-14,100001130,100001130,100001130,900001130,DL501130,DL501130,MEMBER-1131,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,497,https://example.com/loan/1131
1132,9542.63, 36 months,21.32%,A,A4,60729.47,3.71,NONE,OH,moving,Fully Paid,2,2,2,59.34%,3,10,Source Verified,Feb-09,100001131,100001131,100001131,900001131,DL501131,DL501131,MEMBER-1132,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,857,https://example.com/loan/1132
1133,12101.17, 36 months,16.83%,C,C4,25542.22,11.11,OTHER,NC,home_improvement,Current,0,0,1,18.85%,17,32,Source Verified,Apr-12,100001132,100001132,100001132,900001132,DL501132,DL501132,MEMBER-1133,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,582,https://example.com/loan/1133
1134,29813.38, 36 months,16.36%,D,D4,161818.07,22.81,OWN,NC,car,Fully Paid,4,0,1,64.42%,26,56,Source Verified,Apr-12,100001133,100001133,100001133,900001133,DL501133,DL501133,MEMBER-1134,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,391,https://example.com/loan/1134
1135,20793.06, 60 months,21.7%,F,F5,128788.82,4.79,OTHER,CA,vacation,Current,1,3,1,33.27%,3,28,Not Verified,Nov-08,100001134,100001134,100001134,900001134,DL501134,DL501134,MEMBER-1135,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,695,https://example.com/loan/1135
1136,30528.9, 60 months,18.0%,G,G3,71317.03,12.93,NONE,OH,moving,Fully Paid,2,0,2,46.55%,3,35,Source Verified,Dec-08,100001135,100001135,100001135,900001135,DL501135,DL501135,MEMBER-1136,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,783,https://example.com/loan/1136
1137,9040.77, 60 months,6.63%,G,G2,165960.51,3.1,OWN,NC,vacation,Fully Paid,0,2,0,75.63%,12,8,Not Verified,Apr-14,100001136,100001136,100001136,900001136,DL501136,DL501136,MEMBER-1137,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,621,https://example.com/loan/1137
1138,2125.52, 60 months,17.99%,C,C1,88867.25,8.65,RENT,PA,wedding,Current,0,3,NA,67.35%,7,22,Source Verified,Dec-16,100001137,100001137,100001137,900001137,DL501137,DL501137,MEMBER-1138,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,362,https://example.com/loan/1138
1139,17424.33, 36 months,22.27%,C,C3,76333.53,11.92,OTHER,CA,vacation,Fully Paid,2,1,1,3.01%,10,25,Not Verified,Aug-10,100001138,100001138,100001138,900001138,DL501138,DL501138,MEMBER-1139,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,305,https://example.com/loan/1139
1140,32358.04, 60 months,24.59%,A,A3,137897.46,20.78,OWN,IL,medical,Current,3,2,1,77.76%,10,37,Verified,May-12,100001139,100001139,100001139,900001139,DL501139,DL501139,MEMBER-1140,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,244,https://example.com/loan/1140
1141,28817.19, 60 months,6.48%,B,B4,155111.08,6.56,OWN,TX,small_business,Fully Paid,0,1,0,75.77%,14,2,Not Verified,Sep-13,100001140,100001140,100001140,900001140,DL501140,DL501140,MEMBER-1141,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,860,https://example.com/loan/1141
1142,31207.93, 60 months,15.09%,C,C3,156609.49,17.67,MORTGAGE,NY,credit_card,Current,3,2,1,50.22%,19,58,Not Verified,Apr-11,100001141,100001141,100001141,900001141,DL501141,DL501141,MEMBER-1142,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,966,https://example.com/loan/1142
1143,16030.1, 60 months,8.42%,A,A1,42843.41,2.65,OTHER,IL,educational,Fully Paid,0,2,1,24.92%,4,6,Not Verified,Nov-15,100001142,100001142,100001142,900001142,DL501142,DL501142,MEMBER-1143,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,298,https://example.com/loan/1143
1144,12119.43, 36 months,23.34%,B,B3,111450.81,17.78,OWN,GA,other,Fully Paid,2,3,2,75.65%,8,31,Verified,Jul-12,100001143,100001143,100001143,900001143,DL501143,DL501143,MEMBER-1144,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,478,https://example.com/loan/1144
1145,4027.25, 36 months,15.27%,D,D2,84035.62,11.87,OWN,TX,debt_consolidation,Charged Off,4,0,2,91.81%,18,43,Source Verified,Feb-10,100001144,100001144,100001144,900001144,DL501144,DL501144,MEMBER-1145,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,527,https://example.com/loan/1145
1146,11735.88, 36 months,12.45%,B,B3,167771.03,6.65,NONE,CA,renewable_energy,Charged Off,2,1,1,90.79%,23,23,Source Verified,Apr-17,100001145,100001145,100001145,900001145,DL501145,DL501145,MEMBER-1146,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,310,https://example.com/loan/1146
1147,27311.63, 60 months,19.28%,E,E3,191397.6,4.76,OTHER,FL,moving,Charged Off,1,3,2,97.5%,23,16,Not Verified,Feb-10,100001146,100001146,100001146,900001146,DL501146,DL501146,MEMBER-1147,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,921,https://example.com/loan/1147
1148,9184.7, 60 months,12.35%,B,B3,137099.21,15.9,OWN,FL,vacation,Current,1,2,NA,26.77%,18,59,Verified,Aug-14,100001147,100001147,100001147,900001147,DL501147,DL501147,MEMBER-1148,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,150,https://example.com/loan/1148
1149,23989.67, 60 months,17.61%,A,A4,107805.34,26.26,MORTGAGE,FL,vacation,Fully Paid,2,0,2,63.2%,12,6,Not Verified,Jun-16,100001148,100001148,100001148,900001148,DL501148,DL501148,MEMBER-1149,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,122,https://example.com/loan/1149
1150,20455.61, 36 months,17.38%,C,C2,99696.26,2.65,NONE,IL,credit_card,Current,4,3,0,36.47%,26,53,Verified,Dec-14,100001149,100001149,100001149,900001149,DL501149,DL501149,MEMBER-1150,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,151,https://example.com/loan/1150
1151,17521.79, 36 months,9.42%,E,E4,109572.65,20.86,OTHER,OH,house,Fully Paid,3,2,2,14.62%,4,11,Verified,Oct-12,100001150,100001150,100001150,900001150,DL501150,DL501150,MEMBER-1151,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,111,https://example.com/loan/1151
1152,23152.6, 36 months,8.79%,A,A5,187631.42,8.14,NONE,GA,renewable_energy,Fully Paid,3,1,NA,27.83%,4,43,Source Verified,Aug-10,100001151,100001151,100001151,900001151,DL501151,DL501151,MEMBER-1152,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,148,https://example.com/loan/1152
1153,14800.18, 36 months,20.64%,C,C1,36290.09,26.89,OWN,NY,car,Fully Paid,4,0,NA,50.2%,2,13,Not Verified,Jul-08,100001152,100001152,100001152,900001152,DL501152,DL501152,MEMBER-1153,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,609,https://example.com/loan/1153
1154,22007.15, 36 months,22.3%,C,C1,44970.68,12.36,NONE,IL,small_business,Current,0,0,1,29.41%,13,36,Verified,Dec-08,100001153,100001153,100001153,900001153,DL501153,DL501153,MEMBER-1154,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,218,https://example.com/loan/1154
1155,21764.46, 60 months,19.09%,C,C4,44074.98,15.69,RENT,GA,vacation,Fully Paid,0,0,1,23.49%,15,47,Verified,Aug-12,100001154,100001154,100001154,900001154,DL501154,DL501154,MEMBER-1155,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,496,https://example.com/loan/1155
1156,19216.23, 60 months,12.03%,C,C2,188276.47,22.95,OTHER,CA,small_business,Charged Off,3,1,0,70.46%,27,52,Not Verified,Jun-12,100001155,100001155,100001155,900001155,DL501155,DL501155,MEMBER-1156,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,498,https://example.com/loan/1156
1157,4591.88, 60 months,13.39%,C,C4,75723.72,8.89,RENT,FL,home_improvement,Fully Paid,4,0,1,25.37%,2,26,Not Verified,Sep-15,100001156,100001156,100001156,900001156,DL501156,DL501156,MEMBER-1157,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,697,https://example.com/loan/1157
1158,21422.95, 36 months,19.47%,G,G3,179686.56,22.82,OTHER,NY,small_business,Fully Paid,1,3,2,35.21%,29,25,Source Verified,Jul-15,100001157,100001157,100001157,900001157,DL501157,DL501157,MEMBER-1158,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,340,https://example.com/loan/1158
1159,20139.8, 36 months,14.34%,G,G4,145346.58,12.48,OWN,MI,home_improvement,Charged Off,0,2,NA,55.66%,20,41,Not Verified,Jun-09,100001158,100001158,100001158,900001158,DL501158,DL501158,MEMBER-1159,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,895,https://example.com/loan/1159
1160,9849.47, 36 months,19.56%,A,A4,68092.38,20.63,OTHER,MI,educational,Current,2,2,2,57.56%,27,24,Not Verified,Sep-09,100001159,100001159,100001159,900001159,DL501159,DL501159,MEMBER-1160,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,146,https://example.com/loan/1160
1161,18687.15, 60 months,10.83%,D,D5,154000.06,10.87,OWN,NC,vacation,Current,3,1,NA,73.76%,16,13,Verified,Mar-12,100001160,100001160,100001160,900001160,DL501160,DL501160,MEMBER-1161,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,516,https://example.com/loan/1161
1162,34913.98, 36 months,23.51%,F,F3,55787.88,1.51,NONE,PA,vacation,Fully Paid,0,1,0,65.8%,30,46,Verified,Sep-09,100001161,100001161,100001161,900001161,DL501161,DL501161,MEMBER-1162,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,883,https://example.com/loan/1162
1163,10748.19, 60 months,14.84%,G,G5,199591.93,9.66,NONE,IL,debt_consolidation,Current,2,2,0,33.55%,24,43,Not Verified,Sep-09,100001162,100001162,100001162,900001162,DL501162,DL501162,MEMBER-1163,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,487,https://example.com/loan/1163
1164,17447.09, 60 months,9.51%,E,E4,63575.2,0.61,OWN,CA,vacation,Fully Paid,0,0,NA,54.99%,14,22,Source Verified,Nov-11,100001163,100001163,100001163,900001163,DL501163,DL501163,MEMBER-1164,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,623,https://example.com/loan/1164
1165,5522.44, 36 months,17.91%,E,E4,23295.83,27.13,MORTGAGE,CA,moving,Charged Off,0,2,1,43.76%,1,31,Not Verified,Dec-17,100001164,100001164,100001164,900001164,DL501164,DL501164,MEMBER-1165,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,872,https://example.com/loan/1165
1166,30032.93, 60 months,24.45%,F,F4,79130.65,25.18,OWN,PA,house,Current,3,3,NA,92.77%,6,29,Source Verified,Aug-12,100001165,100001165,100001165,900001165,DL501165,DL501165,MEMBER-1166,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,244,https://example.com/loan/1166
1167,13848.84, 36 months,9.44%,C,C2,125992.04,17.74,NONE,GA,moving,Fully Paid,1,0,NA,97.34%,12,2,Verified,Feb-15,100001166,100001166,100001166,900001166,DL501166,DL501166,MEMBER-1167,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,334,https://example.com/loan/1167
1168,10076.33, 60 months,7.82%,D,D1,43735.54,3.87,MORTGAGE,NY,debt_consolidation,Fully Paid,4,3,2,46.61%,5,6,Source Verified,Apr-13,100001167,100001167,100001167,900001167,DL501167,DL501167,MEMBER-1168,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,199,https://example.com/loan/1168
1169,16370.1, 36 months,7.54%,G,G4,35015.42,6.72,OTHER,IL,vacation,Current,2,2,NA,38.63%,30,13,Not Verified,Jul-18,100001168,100001168,100001168,900001168,DL501168,DL501168,MEMBER-1169,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,705,https://example.com/loan/1169
1170,17781.19, 60 months,16.99%,A,A1,96759.49,20.01,OTHER,PA,wedding,Fully Paid,2,0,2,16.11%,8,19,Source Verified,Jul-12,100001169,100001169,100001169,900001169,DL501169,DL501169,MEMBER-1170,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,626,https://example.com/loan/1170
1171,14320.14, 60 months,18.31%,G,G2,132624.28,16.7,OWN,OH,major_purchase,Current,4,1,1,34.02%,30,7,Not Verified,Feb-17,100001170,100001170,100001170,900001170,DL501170,DL501170,MEMBER-1171,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,130,https://example.com/loan/1171
1172,15958.3, 36 months,6.35%,A,A4,53132.1,26.32,OTHER,OH,home_improvement,Fully Paid,4,3,1,68.3%,18,44,Not Verified,Nov-12,100001171,100001171,100001171,900001171,DL501171,DL501171,MEMBER-1172,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,191,https://example.com/loan/1172
1173,13054.27, 36 months,19.75%,F,F3,72005.86,22.65,OTHER,TX,vacation,Fully Paid,0,3,NA,14.39%,4,14,Verified,Aug-10,100001172,100001172,100001172,900001172,DL501172,DL501172,MEMBER-1173,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,311,https://example.com/loan/1173
1174,31115.49, 36 months,17.4%,D,D2,85548.49,0.07,RENT,OH,other,Fully Paid,1,1,NA,65.9%,12,20,Source Verified,Dec-11,100001173,100001173,100001173,900001173,DL501173,DL501173,MEMBER-1174,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,773,https://example.com/loan/1174
1175,30422.03, 36 months,9.53%,D,D2,152491.57,0.91,RENT,NY,major_purchase,Fully Paid,1,3,1,40.52%,28,37,Not Verified,Apr-12,100001174,100001174,100001174,900001174,DL501174,DL501174,MEMBER-1175,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,290,https://example.com/loan/1175
1176,23808.14, 60 months,10.42%,F,F3,28876.38,28.58,RENT,NY,educational,Fully Paid,3,1,1,67.68%,3,15,Source Verified,Jul-13,100001175,100001175,100001175,900001175,DL501175,DL501175,MEMBER-1176,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,381,https://example.com/loan/1176
1177,15046.87, 60 months,24.59%,G,G5,135723.38,23.8,OTHER,NC,wedding,Fully Paid,1,2,1,75.1%,8,12,Source Verified,Feb-09,100001176,100001176,100001176,900001176,DL501176,DL501176,MEMBER-1177,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,877,https://example.com/loan/1177
1178,5455.29, 60 months,14.59%,E,E5,83619.55,28.39,OWN,MI,medical,Fully Paid,3,1,2,7.66%,11,31,Not Verified,Jul-10,100001177,100001177,100001177,900001177,DL501177,DL501177,MEMBER-1178,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,671,https://example.com/loan/1178
1179,6763.13, 60 months,17.05%,C,C2,151915.08,5.62,NONE,TX,vacation,Fully Paid,3,1,0,94.19%,15,9,Verified,Apr-17,100001178,100001178,100001178,900001178,DL501178,DL501178,MEMBER-1179,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,937,https://example.com/loan/1179
1180,9898.27, 60 months,19.08%,A,A2,141089.24,27.14,OWN,CA,wedding,Fully Paid,1,1,2,23.74%,2,7,Not Verified,May-18,100001179,100001179,100001179,900001179,DL501179,DL501179,MEMBER-1180,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,131,https://example.com/loan/1180
1181,17793.89, 36 months,20.47%,E,E5,178599.42,23.52,NONE,PA,credit_card,Fully Paid,1,0,NA,43.48%,21,7,Source Verified,May-14,100001180,100001180,100001180,900001180,DL501180,DL501180,MEMBER-1181,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,445,https://example.com/loan/1181
1182,28657.69, 60 months,22.43%,C,C2,34442.73,1.32,MORTGAGE,TX,renewable_energy,Current,3,2,NA,42.83%,20,60,Source Verified,Jul-08,100001181,100001181,100001181,900001181,DL501181,DL501181,MEMBER-1182,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,578,https://example.com/loan/1182
1183,2845.67, 36 months,12.56%,F,F5,74337.95,12.11,OTHER,GA,other,Fully Paid,4,1,NA,75.28%,18,47,Not Verified,Jul-13,100001182,100001182,100001182,900001182,DL501182,DL501182,MEMBER-1183,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,155,https://example.com/loan/1183
1184,15473.15, 36 months,23.72%,D,D2,169706.37,20.95,OWN,IL,car,Fully Paid,0,1,0,20.68%,20,4,Not Verified,Nov-12,100001183,100001183,100001183,900001183,DL501183,DL501183,MEMBER-1184,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,785,https://example.com/loan/1184
1185,33333.27, 60 months,13.98%,E,E1,81930.4,6.92,OWN,FL,moving,Charged Off,3,3,NA,17.72%,11,53,Source Verified,May-08,100001184,100001184,100001184,900001184,DL501184,DL501184,MEMBER-1185,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,670,https://example.com/loan/1185
1186,16064.94, 36 months,17.52%,F,F2,39466.62,14.78,OTHER,GA,car,Fully Paid,3,2,2,3.88%,16,10,Verified,Jul-12,100001185,100001185,100001185,900001185,DL501185,DL501185,MEMBER-1186,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,615,https://example.com/loan/1186
1187,33807.26, 60 months,15.62%,F,F4,175877.27,23.14,OWN,MI,wedding,Current,0,2,NA,68.79%,24,52,Source Verified,Aug-09,100001186,100001186,100001186,900001186,DL501186,DL501186,MEMBER-1187,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,602,https://example.com/loan/1187
1188,29866.98, 60 months,13.87%,C,C3,116283.04,21.53,NONE,CA,renewable_energy,Current,0,1,NA,3.04%,12,45,Not Verified,Apr-17,100001187,100001187,100001187,900001187,DL501187,DL501187,MEMBER-1188,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,633,https://example.com/loan/1188
1189,1155.53, 60 months,23.99%,C,C1,52154.01,20.35,OTHER,NY,medical,Fully Paid,1,0,1,0.93%,12,23,Source Verified,May-14,100001188,100001188,100001188,900001188,DL501188,DL501188,MEMBER-1189,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,748,https://example.com/loan/1189
1190,25531.65, 60 months,16.89%,D,D4,76886.38,24.21,NONE,MI,wedding,Charged Off,0,0,1,89.02%,23,51,Source Verified,Nov-15,100001189,100001189,100001189,900001189,DL501189,DL501189,MEMBER-1190,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,691,https://example.com/loan/1190
1191,21462.77, 36 months,10.16%,D,D5,77491.41,13.95,OWN,TX,moving,Fully Paid,2,3,NA,0.28%,2,60,Source Verified,Apr-08,100001190,100001190,100001190,900001190,DL501190,DL501190,MEMBER-1191,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,696,https://example.com/loan/1191
1192,9106.51, 36 months,20.79%,F,F3,45257.47,16.2,OTHER,FL,car,Fully Paid,0,0,NA,0.21%,16,7,Source Verified,Nov-09,100001191,100001191,100001191,900001191,DL501191,DL501191,MEMBER-1192,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,407,https://example.com/loan/1192
1193,27937.92, 36 months,7.86%,A,A4,165611.48,23.88,MORTGAGE,OH,moving,Current,1,3,0,17.79%,6,18,Verified,Jun-14,100001192,100001192,100001192,900001192,DL501192,DL501192,MEMBER-1193,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,712,https://example.com/loan/1193
1194,9407.01, 60 months,19.18%,A,A2,85816.91,14.84,NONE,MI,moving,Fully Paid,3,3,0,96.42%,25,22,Not Verified,Jul-12,100001193,100001193,100001193,900001193,DL501193,DL501193,MEMBER-1194,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,415,https://example.com/loan/1194
1195,23939.88, 60 months,11.12%,G,G2,63322.31,15.19,NONE,MI,small_business,Fully Paid,1,0,2,96.41%,9,46,Source Verified,Mar-08,100001194,100001194,100001194,900001194,DL501194,DL501194,MEMBER-1195,Driver,Debt consolidation loan,Borrower-written description of the loan purpose.,902,https://example.com/loan/1195
1196,26919.68, 60 months,18.73%,C,C2,49044.05,25.34,NONE,OH,other,Charged Off,4,2,1,67.48%,28,2,Source Verified,Mar-14,100001195,100001195,100001195,900001195,DL501195,DL501195,MEMBER-1196,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,278,https://example.com/loan/1196
1197,26068.76, 60 months,23.94%,E,E4,137684.45,2.66,RENT,FL,educational,Fully Paid,1,0,1,76.85%,6,41,Source Verified,May-10,100001196,100001196,100001196,900001196,DL501196,DL501196,MEMBER-1197,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,179,https://example.com/loan/1197
1198,21453.75, 60 months,9.46%,E,E3,113372.31,25.55,OWN,OH,small_business,Current,3,0,1,58.95%,24,13,Verified,Dec-11,100001197,100001197,100001197,900001197,DL501197,DL501197,MEMBER-1198,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,263,https://example.com/loan/1198
1199,26973.38, 36 months,15.5%,G,G5,169980.86,27.88,MORTGAGE,IL,major_purchase,Current,0,0,2,49.1%,29,34,Verified,Jun-17,100001198,100001198,100001198,900001198,DL501198,DL501198,MEMBER-1199,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,710,https://example.com/loan/1199
1200,4316.83, 36 months,10.36%,C,C4,66967.97,20.11,RENT,CA,educational,Fully Paid,3,1,0,95.23%,5,11,Source Verified,Dec-12,100001199,100001199,100001199,900001199,DL501199,DL501199,MEMBER-1200,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,161,https://example.com/loan/1200
1201,25009.74, 60 months,11.7%,A,A1,168012.48,18.0,OTHER,NC,moving,Current,4,3,2,53.15%,10,28,Not Verified,Dec-09,100001200,100001200,100001200,900001200,DL501200,DL501200,MEMBER-1201,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,422,https://example.com/loan/1201
1202,23730.88, 60 months,10.64%,C,C4,22387.78,3.57,NONE,IL,wedding,Fully Paid,1,2,0,13.41%,19,9,Source Verified,May-17,100001201,100001201,100001201,900001201,DL501201,DL501201,MEMBER-1202,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,888,https://example.com/loan/1202
1203,14129.09, 60 months,14.02%,F,F1,109093.14,10.81,MORTGAGE,GA,major_purchase,Fully Paid,2,3,0,29.77%,8,45,Source Verified,Apr-17,100001202,100001202,100001202,900001202,DL501202,DL501202,MEMBER-1203,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,674,https://example.com/loan/1203
1204,31667.92, 60 months,23.41%,E,E4,138247.1,4.06,RENT,OH,renewable_energy,Current,3,1,NA,15.08%,27,21,Not Verified,Dec-13,100001203,100001203,100001203,900001203,DL501203,DL501203,MEMBER-1204,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,583,https://example.com/loan/1204
1205,28336.13, 60 months,14.33%,B,B5,136018.84,20.3,OTHER,CA,educational,Current,1,3,2,85.91%,21,16,Source Verified,Dec-13,100001204,100001204,100001204,900001204,DL501204,DL501204,MEMBER-1205,Retail Associate,Debt consolidation loan,Borrower-written description of the loan purpose.,754,https://example.com/loan/1205
1206,2008.08, 60 months,7.97%,D,D4,92234.68,20.76,MORTGAGE,GA,house,Current,2,1,NA,40.45%,4,24,Not Verified,Dec-18,100001205,100001205,100001205,900001205,DL501205,DL501205,MEMBER-1206,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,126,https://example.com/loan/1206
1207,10935.89, 36 months,16.76%,G,G5,20767.14,15.86,RENT,NC,debt_consolidation,Fully Paid,1,2,1,29.78%,4,56,Verified,Jun-10,100001206,100001206,100001206,900001206,DL501206,DL501206,MEMBER-1207,Nurse,Debt consolidation loan,Borrower-written description of the loan purpose.,451,https://example.com/loan/1207
1208,25937.69, 36 months,12.39%,D,D1,21209.07,5.82,RENT,FL,house,Charged Off,4,1,1,58.72%,11,38,Source Verified,Sep-09,100001207,100001207,100001207,900001207,DL501207,DL501207,MEMBER-1208,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,367,https://example.com/loan/1208
1209,18702.46, 60 months,20.66%,E,E2,147313.08,26.63,NONE,TX,car,Charged Off,3,0,2,24.47%,26,26,Not Verified,Nov-12,100001208,100001208,100001208,900001208,DL501208,DL501208,MEMBER-1209,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,228,https://example.com/loan/1209
1210,18637.23, 36 months,23.23%,F,F2,148970.65,27.68,MORTGAGE,GA,car,Charged Off,3,2,1,59.0%,28,48,Verified,Oct-13,100001209,100001209,100001209,900001209,DL501209,DL501209,MEMBER-1210,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,241,https://example.com/loan/1210
1211,15419.88, 36 months,23.58%,G,G4,177873.9,19.1,NONE,CA,major_purchase,Fully Paid,3,3,1,55.61%,13,50,Not Verified,Dec-17,100001210,100001210,100001210,900001210,DL501210,DL501210,MEMBER-1211,Software Engineer,Debt consolidation loan,Borrower-written description of the loan purpose.,833,https://example.com/loan/1211
